person,personLabel,traitLabels,scholiaURL
http://www.wikidata.org/entity/Q56556463,Jens Kattge,plant trait | functional trait | invasive trait | morphological trait,https://scholia.toolforge.org/author/Q56556463
http://www.wikidata.org/entity/Q56373618,Jonas J. Lembrechts,plant trait | urban trait | functional trait,https://scholia.toolforge.org/author/Q56373618
http://www.wikidata.org/entity/Q56441617,Joseph A Tobias,sexual trait | dispersal mode | dispersal trait | ecological trait | functional trait | morphological trait | plant trait,https://scholia.toolforge.org/author/Q56441617
http://www.wikidata.org/entity/Q51171519,Joshua S Madin,plant trait | animal trait | dispersal trait | ecological trait | life-history trait | morphological trait,https://scholia.toolforge.org/author/Q51171519
http://www.wikidata.org/entity/Q88797887,Katherine C B Weiss,functional trait,https://scholia.toolforge.org/author/Q88797887
http://www.wikidata.org/entity/Q62559145,Kim S. Ely,plant trait,https://scholia.toolforge.org/author/Q62559145
http://www.wikidata.org/entity/Q113109213,Loïc Chalmandrier,functional trait,https://scholia.toolforge.org/author/Q113109213
http://www.wikidata.org/entity/Q56576289,Luca Santini,functional trait | plant trait,https://scholia.toolforge.org/author/Q56576289
http://www.wikidata.org/entity/Q57010307,Malte Jochum,ecological trait,https://scholia.toolforge.org/author/Q57010307
http://www.wikidata.org/entity/Q43121038,Mark Westoby,plant trait | seed mass | animal trait | dispersal mode | dispersal trait | functional trait,https://scholia.toolforge.org/author/Q43121038
http://www.wikidata.org/entity/Q89766675,Marko J. Spasojevic,plant trait | dispersal trait | functional trait,https://scholia.toolforge.org/author/Q89766675
http://www.wikidata.org/entity/Q26714687,Maurizio Rossetto,plant trait,https://scholia.toolforge.org/author/Q26714687
http://www.wikidata.org/entity/Q59763318,Meghan Balk,functional trait,https://scholia.toolforge.org/author/Q59763318
http://www.wikidata.org/entity/Q56456979,Michael J. McWilliam,functional trait | life-history trait,https://scholia.toolforge.org/author/Q56456979
http://www.wikidata.org/entity/Q46983883,Michael Ray Kearney,freeze tolerance | functional trait,https://scholia.toolforge.org/author/Q46983883
http://www.wikidata.org/entity/Q92348435,Mohammad Bagher Erfanian,plant trait,https://scholia.toolforge.org/author/Q92348435
http://www.wikidata.org/entity/Q58454288,Nicolas Fanin,functional trait,https://scholia.toolforge.org/author/Q58454288
http://www.wikidata.org/entity/Q56559680,Pete Manning,plant trait | ecological trait | functional trait,https://scholia.toolforge.org/author/Q56559680
http://www.wikidata.org/entity/Q62558788,Rachael V. Gallagher,functional trait | invasive trait | life-history trait | plant trait,https://scholia.toolforge.org/author/Q62558788
http://www.wikidata.org/entity/Q47817227,Ralf B. Schäfer,functional trait,https://scholia.toolforge.org/author/Q47817227
http://www.wikidata.org/entity/Q63240627,Ramona L Walls,functional trait,https://scholia.toolforge.org/author/Q63240627
http://www.wikidata.org/entity/Q55100101,Richard J Telford,plant trait,https://scholia.toolforge.org/author/Q55100101
http://www.wikidata.org/entity/Q42407986,Roberto Salguero-Gómez,plant trait | functional trait | life-history trait | metabolic trait,https://scholia.toolforge.org/author/Q42407986
http://www.wikidata.org/entity/Q51729642,Samraat S. Pawar,ecological trait | metabolic plasticity | metabolic trait,https://scholia.toolforge.org/author/Q51729642
http://www.wikidata.org/entity/Q50669412,Samuel C. Andrew,plant trait | functional trait,https://scholia.toolforge.org/author/Q50669412
http://www.wikidata.org/entity/Q58643826,Sean T. Michaletz,plant trait | functional trait,https://scholia.toolforge.org/author/Q58643826
http://www.wikidata.org/entity/Q85683771,Stefanie Dekeyzer,ecological trait,https://scholia.toolforge.org/author/Q85683771
http://www.wikidata.org/entity/Q42666979,Steven L. Chown,freeze tolerance | functional trait | invasive trait | physiological trait,https://scholia.toolforge.org/author/Q42666979
http://www.wikidata.org/entity/Q92348774,Tanya Strydom,plant trait,https://scholia.toolforge.org/author/Q92348774
http://www.wikidata.org/entity/Q93220897,Timothy M. Perez,functional trait,https://scholia.toolforge.org/author/Q93220897
http://www.wikidata.org/entity/Q42561055,Vigdis Vandvik,plant trait | seed mass | functional trait,https://scholia.toolforge.org/author/Q42561055
http://www.wikidata.org/entity/Q57158432,Wilco C.E.P. Verberk,plant trait | dispersal trait | functional trait,https://scholia.toolforge.org/author/Q57158432
http://www.wikidata.org/entity/Q57179980,William D. Pearse,functional trait,https://scholia.toolforge.org/author/Q57179980
http://www.wikidata.org/entity/Q33660352,William Farfán Rios,functional trait,https://scholia.toolforge.org/author/Q33660352
http://www.wikidata.org/entity/Q91581208,Yaoqi Li,plant trait,https://scholia.toolforge.org/author/Q91581208
