taxonId,taxonName,people,scholiaURL
http://www.wikidata.org/entity/Q204861,Teleostei,Paula M. Mabee,https://scholia.toolforge.org/organization/Q112326635/topic/Q204861
http://www.wikidata.org/entity/Q225965,Tenebrio molitor,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q225965
http://www.wikidata.org/entity/Q1038150,Themeda triandra,Rachael V. Gallagher,https://scholia.toolforge.org/organization/Q112326635/topic/Q1038150
http://www.wikidata.org/entity/Q27133,Tracheophyta,Brian J. Enquist | David B. Roy | Ian J. Wright | Jens Kattge | Joshua S Madin | Mark Westoby | Vigdis Vandvik | Rachael V. Gallagher | Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q27133
http://www.wikidata.org/entity/Q2706853,Trachycephalus imitatrix,Diogo Borges Provete,https://scholia.toolforge.org/organization/Q112326635/topic/Q2706853
http://www.wikidata.org/entity/Q156635,Trifolium pratense,Mark Westoby,https://scholia.toolforge.org/organization/Q112326635/topic/Q156635
http://www.wikidata.org/entity/Q889526,Trifolium subterraneum,Mark Westoby,https://scholia.toolforge.org/organization/Q112326635/topic/Q889526
http://www.wikidata.org/entity/Q2278054,Troglohyphantes,Stefano Mammola,https://scholia.toolforge.org/organization/Q112326635/topic/Q2278054
http://www.wikidata.org/entity/Q21354080,Tullbergia bisetosa,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q21354080
http://www.wikidata.org/entity/Q165118,Tunicata,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q165118
http://www.wikidata.org/entity/Q4466022,Uca spinicarpa,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q4466022
http://www.wikidata.org/entity/Q469382,Ulmus americana,Franziska Schrodt,https://scholia.toolforge.org/organization/Q112326635/topic/Q469382
http://www.wikidata.org/entity/Q1231177,Ungulata,Sadie J. Ryan | Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q1231177
http://www.wikidata.org/entity/Q33609,Ursus maritimus,Jacintha Ellers,https://scholia.toolforge.org/organization/Q112326635/topic/Q33609
http://www.wikidata.org/entity/Q924941,Varanus varius,Michael Ray Kearney,https://scholia.toolforge.org/organization/Q112326635/topic/Q924941
http://www.wikidata.org/entity/Q25241,Vertebrata,Joseph A Tobias,https://scholia.toolforge.org/organization/Q112326635/topic/Q25241
http://www.wikidata.org/entity/Q160821,Vibrio cholerae,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q160821
http://www.wikidata.org/entity/Q30046,Vitis vinifera,Alexander Keller | Maurizio Rossetto,https://scholia.toolforge.org/organization/Q112326635/topic/Q30046
http://www.wikidata.org/entity/Q10719318,Warramaba,Michael Ray Kearney,https://scholia.toolforge.org/organization/Q112326635/topic/Q10719318
http://www.wikidata.org/entity/Q190510,Wollemia nobilis,Maurizio Rossetto,https://scholia.toolforge.org/organization/Q112326635/topic/Q190510
http://www.wikidata.org/entity/Q654718,Xenopus laevis,Daniel Mietchen,https://scholia.toolforge.org/organization/Q112326635/topic/Q654718
http://www.wikidata.org/entity/Q202864,Zika virus,Daniel Mietchen | Sadie J. Ryan | Sandra M Durán,https://scholia.toolforge.org/organization/Q112326635/topic/Q202864
http://www.wikidata.org/entity/Q15557019,Zostera capricorni,Mark Westoby,https://scholia.toolforge.org/organization/Q112326635/topic/Q15557019
http://www.wikidata.org/entity/Q21128,Zostera marina,Stefania L. Klayn,https://scholia.toolforge.org/organization/Q112326635/topic/Q21128
